           5   2853260.2814858863     
          10   5825046.1695121340     
          15   8915556.8048566375     
          20   12126169.927141882     
          25   15459331.225487245     
          30   18916462.717773497     
          35   22496289.055496968     
          40   26194406.272936665     
          45   30003778.162664410     
          50   33915629.889809169     
          55   37920330.189619787     
          60   42008074.600266665     
          65   46169341.386039764     
          70   50395161.318751529     
          75   54677255.985334821     
          80   59008090.320770174     
          85   63380871.759499885     
          90   67789517.393383399     
          95   72228602.956704214     
         100   76693302.626219764     
         105   81179325.573026970     
         110   85682853.213851929     
         115   90200479.741777554     
         120   94729157.529535607     
         125   99266148.267858386     
         130   103808980.16132341     
         135   108355411.11547253     
         140   112903397.58322950     
         145   117451068.57170710     
         150   121996704.22075117     
         155   126538718.33278799     
         160   131075644.24308586     
         165   135606123.45670533     
         170   140128896.53226966     
         175   144642795.75496596     
         180   149146739.20589229     
         185   153639725.89784297     
         190   158120831.70628300     
         195   162589205.87703538     
         200   167044067.93847004     
